F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-boolean,F16-String,F16-Integer,F16-StrBuilder,F16-StringBuffer,F16-Boolean,F16-Object,F16-NA,F16-void,F16-int,F16-Strategy,F3-NA,F3-Type[],F3-new ToStringBuilder(base).append(array).toString(),F3-Class,F3-Integer,F3-Throwable,F3-!new EqualsBuilder().append(obj1 obj2).isEquals(),F3-baseStr +  [  + SystemUtils.LINE_SEPARATOR+    <null> + SystemUtils.LINE_SEPARATOR+  ] ,F3-null,F3-boolean,F3-Object,F3-Character,F3-new EqualsBuilder().append(obj1 obj2).isEquals(),F3-char,F3-SystemUtils.isOSMatch(osName osVersion  Windows 9   4.1 ),F3-String,F3-int,F3-char[],F3-sb.toString(),F3-Date,F7--,F7-++,F7--=,F7-+=,F7-&,F7-NA,F7-*,F7-+,F12-Integer,F12-Random,F12-long,F12-int,F12-Object,F12-NA,F12-String,F17-static,F17-NA,F2-Class,F2-List<Integer>,F2-NA,F2-Integer,F2-ByteArrayOutputStream,F2-Executors,F2-String,F2-ExceptionUtilsTest,F2-Collections,F2-Method,F2-Reader,F2-Map<Locale Strategy>,F2-TypeUtilsTest<B>,F2-Calendar,F2-TestSubObject,F2-Token,F6-java.io.ByteArrayOutputStream,F6-org.apache.commons.lang3.text.translate.NumericEntityUnescaper,F6-java.util.Random,F6-NA,F6-java.io.PrintStream,F6-java.lang.UnsupportedOperationException,F6-java.lang.Character,F6-java.lang.Integer,F6-java.lang.Object,F6-org.apache.commons.lang3.builder.EqualsBuilder,F6-java.lang.String,F6-org.apache.commons.lang3.mutable.MutableLong,F6-java.lang.StringBuffer,F6-java.lang.StringBuilder,F6-org.apache.commons.lang3.builder.ToStringBuilder,F6-java.lang.Thread,F6-java.util.Date,F6-org.apache.commons.lang3.tuple.ImmutableTriple,F6-org.apache.commons.lang3.text.StrBuilder,F6-java.io.IOException,F13-private,F13-NA,F18-NA,F14-static-final,F14-NA,F14-final,F1-delegateBooleanAssertion,F1-NA,F1-assertSame,F1-getDeclaredField,F1-abs,F1-assertEquals,F1-getFraction,F1-pow,F1-substring,F1-get,F1-asReader,F1-getGenericParameterTypes,F1-constantFuture,F1-appendln,F1-compareTo,F1-charAt,F1-assertFalse,F1-read,F1-toString,F1-assertTrue,F5-java.lang.Object,F5-NA,F5-java.lang.Number,F5-ProxyInvocationHandler,F5-java.lang.RuntimeException,F5-java.lang.AbstractStringBuilder,F5-StrBuilder,F5-java.io.OutputStream,F5-java.io.FilterOutputStream,F5-java.lang.Exception,F9-testFixture,F9-NA,F9-length,F10-NA,F19-NA,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-ExecutorService,F4-Integer,F4-boolean,F4-long,F4-Throwable,F4-char,F4-TypeVariable[],F4-void,F4-int,F4-String,F4-Field,F4-Strategy,F4-Type[],F8-MutatingClient,F8-NA,F8-InspectingClient,F11-i,F11-secretField,F11-NA,F11-N,F11-object,F11-serialVersionUID,F11-random,F11-showField,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-jcarman@apache.org,F71-pbenedict@apache.org,F71-niallp@apache.org,F71-chas@apache.org,F71-oheger@apache.org,F71-julius@apache.org,F71-ggregory@apache.org,F71-bayard@apache.org,F71-joehni@apache.org,F71-psteitz@apache.org,F71-scolebourne@apache.org,F71-mbenson@apache.org,F71-tn@apache.org,F71-sebb@apache.org,F74,F73,F84,F146,category,status
2562.0,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtilsTest.java,1117.0,True,20.0,148.0,17815.0,2.0,0.0,1742.0,1.0,120.0,0.557742355237,2425.0,175.0,0.0721649484536,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,343.0,140.0,STYLE,0.254019292605,NP_LOAD_OF_KNOWN_NULL_VALUE,19.0,3.0,1.0,0.470507544582,0.192043895748,0.00137174211248,1.0,0.170886075949,0.00616017499983,0.209439528024,0.689900177221,-0.658227848101,0.016077170418,0.106109324759,0.689900177221,-0.562682215743,-0.385714285714,23.0,1228.0,1117.0,2562.0,1801.0,0.0,39.0,752.0,1049.0,2592.0,0.0653394100424,2440.0,87.0,0.0,2527.0,0.0,2353.0,0.0,0.213843061106,0.0,43260.0,0.0,24395.0,1303.0,0.0,68958.0,18865.0,0.143293687454,131.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1464.0,4805.0,1.0,1334.0,close,close
2562.0,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtilsTest.java,1117.0,True,0.0,148.0,17815.0,2.0,0.0,1742.0,1.0,120.0,0.660214703969,2425.0,175.0,0.0721649484536,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,343.0,140.0,STYLE,0.254019292605,NP_LOAD_OF_KNOWN_NULL_VALUE,19.0,3.0,1.0,0.470507544582,0.192043895748,0.00137174211248,-1.0,0.170886075949,0.00616017499983,0.209439528024,0.689900177221,-0.658227848101,0.016077170418,0.106109324759,0.689900177221,-0.562682215743,-0.385714285714,1.0,132.0,103.0,1466.0,1801.0,0.0,39.0,752.0,1049.0,2592.0,0.0653394100424,2440.0,87.0,0.0,2527.0,0.0,2353.0,0.0,0.213843061106,0.0,43260.0,0.0,24395.0,1303.0,0.0,68958.0,18865.0,0.143293687454,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1464.0,4805.0,1.0,1334.0,open,open
2562.0,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtilsTest.java,1117.0,True,0.0,148.0,17815.0,2.0,0.0,1742.0,1.0,120.0,0.681034482759,2425.0,175.0,0.0721649484536,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,343.0,140.0,STYLE,0.254019292605,NP_LOAD_OF_KNOWN_NULL_VALUE,19.0,3.0,1.0,0.470507544582,0.192043895748,0.00137174211248,-1.0,0.170886075949,0.00616017499983,0.209439528024,0.689900177221,-0.658227848101,0.016077170418,0.106109324759,0.689900177221,-0.562682215743,-0.385714285714,1.0,132.0,103.0,1466.0,1801.0,0.0,39.0,752.0,1049.0,2592.0,0.0653394100424,2440.0,87.0,0.0,2527.0,0.0,2353.0,0.0,0.213843061106,0.0,43260.0,0.0,24395.0,1303.0,0.0,68958.0,18865.0,0.143293687454,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1464.0,4805.0,1.0,1334.0,open,open
2562.0,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtilsTest.java,1117.0,True,20.0,148.0,17815.0,2.0,4.0,1742.0,1.0,120.0,0.566200390371,2425.0,175.0,0.0721649484536,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,343.0,140.0,STYLE,0.254019292605,NP_LOAD_OF_KNOWN_NULL_VALUE,19.0,3.0,1.0,0.470507544582,0.192043895748,0.00137174211248,1.0,0.170886075949,0.00616017499983,0.209439528024,0.689900177221,-0.658227848101,0.016077170418,0.106109324759,0.689900177221,-0.562682215743,-0.385714285714,23.0,1228.0,1117.0,2562.0,1801.0,0.0,39.0,752.0,1049.0,2592.0,0.0653394100424,2440.0,87.0,0.0,2527.0,0.0,2353.0,0.0,0.213843061106,0.0,43260.0,0.0,24395.0,1303.0,0.0,68958.0,18865.0,0.143293687454,131.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1464.0,4805.0,1.0,1334.0,close,close
2562.0,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtilsTest.java,1117.0,True,0.0,148.0,17815.0,2.0,0.0,1742.0,1.0,120.0,0.670624593364,2425.0,175.0,0.0721649484536,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,343.0,140.0,STYLE,0.254019292605,NP_LOAD_OF_KNOWN_NULL_VALUE,19.0,3.0,1.0,0.470507544582,0.192043895748,0.00137174211248,1.0,0.170886075949,0.00616017499983,0.209439528024,0.689900177221,-0.658227848101,0.016077170418,0.106109324759,0.689900177221,-0.562682215743,-0.385714285714,23.0,1228.0,1117.0,2562.0,1801.0,0.0,39.0,752.0,1049.0,2592.0,0.0653394100424,2440.0,87.0,0.0,2527.0,0.0,2353.0,0.0,0.213843061106,0.0,43260.0,0.0,24395.0,1303.0,0.0,68958.0,18865.0,0.143293687454,131.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1464.0,4805.0,1.0,1334.0,close,close
2562.0,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtilsTest.java,1117.0,True,22.0,148.0,17815.0,2.0,8.0,1742.0,1.0,120.0,0.459011060507,2425.0,175.0,0.0721649484536,0.272727272727,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,343.0,140.0,STYLE,0.254019292605,NP_LOAD_OF_KNOWN_NULL_VALUE,19.0,3.0,1.0,0.470507544582,0.192043895748,0.00137174211248,-1.0,0.170886075949,0.00616017499983,0.209439528024,0.689900177221,-0.658227848101,0.016077170418,0.106109324759,0.689900177221,-0.562682215743,-0.385714285714,1.0,132.0,103.0,1466.0,1801.0,0.0,39.0,752.0,1049.0,2592.0,0.0653394100424,2440.0,87.0,0.0,2527.0,0.0,2353.0,0.0,0.213843061106,0.0,43260.0,0.0,24395.0,1303.0,0.0,68958.0,18865.0,0.143293687454,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1464.0,4805.0,1.0,1334.0,open,open
2562.0,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtilsTest.java,1117.0,True,22.0,148.0,17815.0,2.0,8.0,1742.0,1.0,120.0,0.468119713728,2425.0,175.0,0.0721649484536,0.272727272727,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,343.0,140.0,STYLE,0.254019292605,NP_LOAD_OF_KNOWN_NULL_VALUE,19.0,3.0,1.0,0.470507544582,0.192043895748,0.00137174211248,-1.0,0.170886075949,0.00616017499983,0.209439528024,0.689900177221,-0.658227848101,0.016077170418,0.106109324759,0.689900177221,-0.562682215743,-0.385714285714,1.0,132.0,103.0,1466.0,1801.0,0.0,39.0,752.0,1049.0,2592.0,0.0653394100424,2440.0,87.0,0.0,2527.0,0.0,2353.0,0.0,0.213843061106,0.0,43260.0,0.0,24395.0,1303.0,0.0,68958.0,18865.0,0.143293687454,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1464.0,4805.0,1.0,1334.0,open,open
2562.0,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtilsTest.java,1117.0,True,22.0,148.0,17815.0,2.0,0.0,1742.0,1.0,120.0,0.513662979831,2425.0,175.0,0.0721649484536,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,343.0,140.0,STYLE,0.254019292605,NP_LOAD_OF_KNOWN_NULL_VALUE,19.0,3.0,1.0,0.470507544582,0.192043895748,0.00137174211248,-1.0,0.170886075949,0.00616017499983,0.209439528024,0.689900177221,-0.658227848101,0.016077170418,0.106109324759,0.689900177221,-0.562682215743,-0.385714285714,23.0,1228.0,1117.0,2562.0,1801.0,0.0,39.0,752.0,1049.0,2592.0,0.0653394100424,2440.0,87.0,0.0,2527.0,0.0,2353.0,0.0,0.213843061106,0.0,43260.0,0.0,24395.0,1303.0,0.0,68958.0,18865.0,0.143293687454,131.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1464.0,4805.0,1.0,1334.0,open,open
2562.0,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtilsTest.java,1117.0,True,22.0,148.0,17815.0,2.0,0.0,1742.0,1.0,120.0,0.50455432661,2425.0,175.0,0.0721649484536,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,343.0,140.0,STYLE,0.254019292605,NP_LOAD_OF_KNOWN_NULL_VALUE,19.0,3.0,1.0,0.470507544582,0.192043895748,0.00137174211248,-1.0,0.170886075949,0.00616017499983,0.209439528024,0.689900177221,-0.658227848101,0.016077170418,0.106109324759,0.689900177221,-0.562682215743,-0.385714285714,23.0,1228.0,1117.0,2562.0,1801.0,0.0,39.0,752.0,1049.0,2592.0,0.0653394100424,2440.0,87.0,0.0,2527.0,0.0,2353.0,0.0,0.213843061106,0.0,43260.0,0.0,24395.0,1303.0,0.0,68958.0,18865.0,0.143293687454,131.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1464.0,4805.0,1.0,1334.0,open,open
2562.0,org/apache/commons/lang3,org/apache/commons/lang3/ArrayUtilsTest.java,1117.0,True,22.0,148.0,17815.0,2.0,0.0,1742.0,1.0,120.0,0.522771633051,2425.0,175.0,0.0721649484536,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,343.0,140.0,STYLE,0.254019292605,NP_LOAD_OF_KNOWN_NULL_VALUE,19.0,3.0,1.0,0.470507544582,0.192043895748,0.00137174211248,-1.0,0.170886075949,0.00616017499983,0.209439528024,0.689900177221,-0.658227848101,0.016077170418,0.106109324759,0.689900177221,-0.562682215743,-0.385714285714,23.0,1228.0,1117.0,2562.0,1801.0,0.0,39.0,752.0,1049.0,2592.0,0.0653394100424,2440.0,87.0,0.0,2527.0,0.0,2353.0,0.0,0.213843061106,0.0,43260.0,0.0,24395.0,1303.0,0.0,68958.0,18865.0,0.143293687454,131.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1464.0,4805.0,1.0,1334.0,open,open
